대여소번호,대여건수,반납건수,총이용건수,자치구,대여소명,위도,경도,순유출,지역명
271,634.0,448.25,1082.25,영등포구,271. 샛강생태공원방문자센터 앞,37.573666,127.030815,185.75,영등포구 샛강생태공원방문자센터 앞
272,4918.5,5153.916666666667,10072.416666666666,영등포구,272. 당산육갑문,37.575272,127.023468,-235.41666666666697,영등포구 당산육갑문
275,2802.25,2853.5,5655.75,영등포구,275. 신동아아파트,37.582561,127.054367,-51.25,영등포구 신동아아파트
276,1081.0833333333333,1069.1666666666667,2150.25,영등포구,276. 영등포로터리2,37.574203,127.057693,11.916666666666515,영등포구 영등포로터리2
278,2502.0833333333335,2282.9166666666665,4785.0,영등포구,278. 쌍용플레티넘오피스텔,37.53846,126.894508,219.16666666666697,영등포구 쌍용플레티넘오피스텔
279,2010.75,1686.8333333333333,3697.5833333333335,영등포구,279. 영등포 푸르지오 아파트 B,37.535873,126.892181,323.91666666666674,영등포구 영등포 푸르지오 아파트 B
280,3048.25,3014.25,6062.5,영등포구,280. 양평동6차현대아파트 앞,37.524506,126.891823,34.0,영등포구 양평동6차현대아파트 앞
281,1065.5833333333333,1042.0,2107.5833333333335,영등포구,281. 대림신동아아파트 앞,37.52565,126.887817,23.583333333333258,영등포구 대림신동아아파트 앞
282,682.3333333333334,749.4166666666666,1431.75,영등포구,282. 신한은행 대림동지점,37.528488,126.891647,-67.08333333333326,영등포구 신한은행 대림동지점
283,2602.5833333333335,2413.0833333333335,5015.666666666667,영등포구,283. 아크로타워 스퀘어(영등포시장),37.500462,126.905846,189.5,영등포구 아크로타워 스퀘어(영등포시장)
284,2218.3333333333335,1974.75,4193.083333333333,영등포구,284. 센트럴 푸르지오 시티 앞,37.504566,126.910233,243.58333333333348,영등포구 센트럴 푸르지오 시티 앞
285,723.75,820.8333333333334,1544.5833333333333,영등포구,285. 콤텍시스템 앞,37.516155,126.894615,-97.08333333333337,영등포구 콤텍시스템 앞
286,923.8333333333334,983.5,1907.3333333333333,영등포구,286. 우성아파트 교차로,37.496521,126.914925,-59.66666666666663,영등포구 우성아파트 교차로
287,2082.6666666666665,2073.9166666666665,4156.583333333333,영등포구,287. 영등포전화국사거리 (서강어린이공원),37.526386,126.902756,8.75,영등포구 영등포전화국사거리 (서강어린이공원)
288,1321.75,1331.5,2653.25,영등포구,288. 쌍용예가(구청별관),37.525852,126.903282,-9.75,영등포구 쌍용예가(구청별관)
289,1181.0,1249.0833333333333,2430.0833333333335,영등포구,289. 대림3동사거리,37.518738,126.895576,-68.08333333333326,영등포구 대림3동사거리
290,2644.6666666666665,2484.5,5129.166666666667,영등포구,290. 새말소공원,37.505016,126.898537,160.16666666666652,영등포구 새말소공원
291,2183.1666666666665,2159.5,4342.666666666667,영등포구,291. 문래동 하이테크 시티,37.510933,126.910225,23.666666666666515,영등포구 문래동 하이테크 시티
292,1385.6666666666667,1333.5833333333333,2719.25,영등포구,292. 영일 어린이공원,37.527084,126.89138,52.083333333333485,영등포구 영일 어린이공원
293,2547.0,2264.5833333333335,4811.583333333333,영등포구,293. 충북 미래관,37.530079,126.905708,282.4166666666665,영등포구 충북 미래관
295,285.9166666666667,281.0,566.9166666666666,영등포구,295.영등포공원 분수대 앞,37.533421,126.902237,4.916666666666686,영등포구 영등포공원 분수대 앞
296,2518.6666666666665,2412.0833333333335,4930.75,영등포구,296.KT플라자 영등포점,37.531055,126.92421,106.58333333333303,영등포구 KT플라자 영등포점
297,195.66666666666666,189.66666666666666,385.3333333333333,영등포구,297.국회3문,37.524578,126.935806,6.0,영등포구 국회3문
298,559.3636363636364,403.45454545454544,962.8181818181819,영등포구,298.KBS 연구동 건너편,37.507641,126.92308,155.90909090909093,영등포구 KBS 연구동 건너편
299,408.5833333333333,402.9166666666667,811.5,영등포구,299.여의도 순복음교회,37.504494,126.921951,5.666666666666629,영등포구 여의도 순복음교회
300,856.1666666666666,804.25,1660.4166666666667,중구,300. 정동사거리,37.499828,126.919945,51.91666666666663,중구 정동사거리
301,864.0833333333334,524.5,1388.5833333333333,종로구,301. 경복궁역 7번출구 앞,37.500649,126.909515,339.58333333333337,종로구 경복궁역 7번출구 앞
302,2062.5833333333335,1999.9166666666667,4062.5,종로구,302. 경복궁역 6번출구 뒤,37.503803,126.903419,62.66666666666674,종로구 경복궁역 6번출구 뒤
303,2310.5833333333335,2202.4166666666665,4513.0,종로구,303. 광화문역 1번출구 앞,37.506573,126.901131,108.16666666666697,종로구 광화문역 1번출구 앞
305,2333.0,2264.0,4597.0,종로구,305. 종로구청 옆,37.513844,126.919357,69.0,종로구 종로구청 옆
307,886.3333333333334,851.1666666666666,1737.5,종로구,307. 서울역사박물관 앞,37.513592,126.925934,35.16666666666674,종로구 서울역사박물관 앞
